,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
230,Toyota Fortuner 4x2 Manual,2014,Diesel,"1,14,000 kms",2982 CC,First Owner,Manual,13.0 kmpl,168.5 bhp,343Nm@ 1400-3400rpm,7,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,9.6 Seconds,D-4D Diesel Engine,13.5 Lakh*
231,Maruti Alto 800 LXI,2012,Petrol,"28,000 kms",796 CC,First Owner,Manual,22.74 kmpl,47.3 bhp,69Nm@ 3500rpm,5,White,6 Speed,FWD,Power,Solid Disc,Drum,19 Seconds,F8D Petrol Engine,2.45 Lakh*
232,Mahindra XUV500 W10 1.99 mHawk,2016,Diesel,"56,000 kms",1997 CC,First Owner,Manual,16.0 kmpl,140 bhp,320Nm@ 1600-2800rpm,7,-,9 Speed,FWD,Power,Disc,Disc,10 Seconds,mHawk Diesel Engine,9.5 Lakh*
233,Maruti Alto 800 VXI,2018,Petrol,"22,874 kms",796 CC,First Owner,Manual,24.7 kmpl,47.3 bhp,69Nm@ 3500rpm,5,White,6 Speed,FWD,Power,Solid Disc,Drum,19 Seconds,F8D Petrol Engine,4 Lakh*
234,Toyota Fortuner 4x2 Manual,2012,Diesel,"86,500 kms",2982 CC,First Owner,Manual,13.0 kmpl,168.5 bhp,343Nm@ 1400-3400rpm,7,White,6 Speed,FWD,Power,Ventilated Disc,Drum,9.6 Seconds,D-4D Diesel Engine,11.75 Lakh*
235,MG Hector Sharp Diesel MT,2019,Diesel,"32,000 kms",1956 CC,First Owner,Manual,17.41 kmpl,167.68 bhp,350Nm@ 1750-2500rpm,5,White,5 Speed,FWD,-,Disc,Disc,-,-,17.75 Lakh*
236,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,2018,Diesel,"36,000 kms",1999 CC,First Owner,Automatic,15.68 kmpl,177 bhp,430Nm@ 1750-2500rpm,5,Silver,5 Speed,4WD,Power,Disc,Disc,9.0 Seconds,TD4 Diesel Engine,45 Lakh*
237,Mahindra XUV500 W10 2WD,2017,Diesel,"64,000 kms",2179 CC,First Owner,Manual,16.0 kmpl,140 bhp,330Nm@ 1600-2800rpm,7,White,5 Speed,FWD,Power,Disc,Disc,10 Seconds,mHawk Diesel Engine,12.25 Lakh*
238,Renault Duster 110PS Diesel RxZ,2012,Diesel,"85,369 kms",1461 CC,Second Owner,Manual,19.01 kmpl,108.45 bhp,248Nm@ 2250rpm,5,Silver,5 Speed CVT,FWD,Power,Ventilated Disc,Drum,-,dCi Diesel Engine,4 Lakh*
239,Toyota Innova 2.5 GX (Diesel) 8 Seater,2011,Diesel,"85,000 kms",2494 CC,First Owner,Manual,12.99 kmpl,100.6 bhp,200Nm@ 1400-3400rpm,8,Red,5 Speed,RWD,Power,Ventilated Disc,Leading-Trailing Drum,13.3 Seconds,2KD-FTV Diesel Engine,5.75 Lakh*
240,Mahindra Scorpio SLX 2.6 Turbo 8 Str,2008,Diesel,"75,000 kms",2179 CC,First Owner,Manual,10.5 kmpl,120 bhp,290Nm@ 1800-2800rpm,7,Red,6 Speed,2WD,Power,Disc,Drum,16.5 seconds,In-Line Engine,3.25 Lakh*
241,Honda Amaze S i-Dtech,2013,Diesel,"61,000 kms",1498 CC,First Owner,Manual,25.8 kmpl,98.6 bhp,200Nm@ 1750rpm,5,White,9 Speed,FWD,Power,Disc,Drum,17 Seconds,i-DTEC Diesel Engine,3 Lakh*
242,Honda City i VTEC CVT VX,2016,Petrol,"40,000 kms",1497 CC,First Owner,Automatic,18.0 kmpl,117.3 bhp,145Nm@ 4600rpm,5,White,6 Speed,FWD,Power,Disc,Drum,10 Seconds,i VTEC Engine,8.51 Lakh*
243,Maruti Wagon R VXI Minor,2010,Petrol,"32,000 kms",1061 CC,First Owner,Manual,18.9 kmpl,67 bhp,84Nm@ 3500rpm,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,-,FC Petrol Engine,2.51 Lakh*
244,MG Hector Sharp Diesel MT,2019,Diesel,"32,000 kms",1956 CC,First Owner,Manual,17.41 kmpl,167.68 bhp,350Nm@ 1750-2500rpm,5,Grey,5 Speed,FWD,-,Disc,Disc,-,-,17.75 Lakh*
245,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,2018,Diesel,"36,000 kms",1999 CC,First Owner,Automatic,15.68 kmpl,177 bhp,430Nm@ 1750-2500rpm,5,Blue,6 Speed,4WD,Power,Disc,Disc,9.0 Seconds,TD4 Diesel Engine,45 Lakh*
246,Mahindra XUV500 W10 2WD,2017,Diesel,"64,000 kms",2179 CC,First Owner,Manual,16.0 kmpl,140 bhp,330Nm@ 1600-2800rpm,7,White,5 Speed,FWD,Power,Disc,Disc,10 Seconds,mHawk Diesel Engine,12.25 Lakh*
