,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
438,Ford Endeavour 2.2 Trend MT 4X4,2016,Diesel,"34,001 kms",2198 CC,First Owner,Manual,13.5 kmpl,157.7 bhp,385Nm@ 1600-2500rpm,7,Red,6 Speed,4WD,Power,Disc,Disc,-,Diesel Engine,21.9 Lakh*
439,Hyundai Creta 1.6 SX Option,2019,Petrol,"21,000 kms",1591 CC,Second Owner,Manual,15.8 kmpl,121.3 bhp,151Nm@ 4850rpm,5,Grey,6 Speed,FWD,Power,Disc,Drum,-,VTVT Petrol Engine,12.5 Lakh*
440,Hyundai Elantra 1.6 SX Option,2018,Diesel,"33,000 kms",1582 CC,First Owner,Manual,22.54 kmpl,126.2 bhp,259.88Nm@ 1900-2750rpm,5,Blue,6 Speed,FWD,Power,Disc,Disc,-,U2 VGT CRDi Diesel Engine,16.75 Lakh*
441,Maruti Wagon R VXI,2007,Petrol,"49,822 kms",998 CC,Second Owner,Manual,18.9 kmpl,67.1 bhp,90Nm@ 3500rpm,5,Red,5 Speed,FWD,Power,Ventilated Disc,Drum,-,K Series Petrol Engine,1.7 Lakh*
442,Hyundai i20 Magna,2014,Petrol,"80,037 kms",1197 CC,First Owner,Manual,18.5 kmpl,82.85 bhp,113.7Nm@ 4000rpm,5,White,5 Speed,FWD,Power,Disc,Drum,-,Kappa VTVT Petrol Engine,4.9 Lakh*
443,Hyundai Xcent 1.1 CRDi S,2014,Diesel,"83,000 kms",1120 CC,First Owner,Manual,24.4 kmpl,71 bhp,180.4Nm@ 1750-2500rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,18.6 Seconds,U2 CRDI Diesel Engine,3.95 Lakh*
444,Renault KWID RXT,2018,Petrol,"14,653 kms",799 CC,First Owner,Manual,25.17 kmpl,53.3 bhp,72Nm@ 4386rpm,5,BRONZE,5 Speed,FWD,Power,Disc,Drum,16 Seconds,Petrol Engine,4 Lakh*
445,Ford Figo Diesel Celebration Edition,2013,Diesel,"1,16,674 kms",1399 CC,First Owner,Manual,20.0 kmpl,68.1 bhp,160Nm@ 2000rpm,5,Grey,5 Speed,FWD,Power,Ventilated Discs,Drum,14.8 Seconds,Duratorq Diesel Engine,2.5 Lakh*
446,Hyundai Grand i10 1.2 Kappa Sportz AT,2019,Petrol,"40,000 kms",1197 CC,First Owner,Automatic,18.9 kmpl,81.86 bhp,113.75nm@ 4000rpm,5,Blue,4 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,6.65 Lakh*
447,Maruti Swift VVT VXI,2017,Petrol,"59,780 kms",1197 CC,First Owner,Manual,22.0 kmpl,81.80 bhp,113Nm@ 4200rpm,5,White,5,-,Power,Disc,Drum,-,VTVT Engine,5.4 Lakh*
448,Volkswagen Polo Petrol Trendline 1.2L,2011,Petrol,"37,000 kms",1198 CC,First Owner,Manual,16.47 kmpl,73.9 bhp,110Nm@ 3750rpm,5,White,5 Speed,FWD,Power,Disc,Drum,14.2 Seconds,In-Line Petrol Engine,4.25 Lakh*
